                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.63106,                 1.4931,                   1.08,                 0.5969,                0.76374,                 0.5377,                0.48436,                0.43252,                 1.5523,                0.96466,               0.007987,               0.007987,               0.007987
                     63,                0.62914,                  1.535,                 1.0803,                0.40455,                0.73447,                0.49932,                0.43779,                0.55616,                  1.774,                  1.078,               0.007954,               0.007954,               0.007954
                     64,                0.62474,                  1.474,                 1.0668,                 0.5426,                0.71453,                0.52672,                0.44704,                0.46504,                   1.38,                 0.9962,               0.007921,               0.007921,               0.007921
                     65,                0.64813,                 1.4985,                 1.0917,                0.51445,                0.77307,                0.56437,                 0.5062,                0.42506,                 1.4363,                0.95706,               0.007888,               0.007888,               0.007888
                     66,                0.62863,                 1.4862,                 1.0773,                0.48983,                0.74554,                0.47783,                0.43662,                0.41755,                 1.5689,                0.96338,               0.007855,               0.007855,               0.007855
                     67,                 0.6387,                 1.5239,                 1.0829,                0.51775,                0.81999,                 0.5633,                0.49694,                0.50465,                 1.3337,                0.99867,               0.007822,               0.007822,               0.007822
                     68,                0.64168,                  1.472,                 1.0891,                0.49209,                 0.6794,                0.52724,                0.46666,                0.59758,                   1.72,                 1.1114,               0.007789,               0.007789,               0.007789
                     69,                0.61929,                 1.4605,                 1.0736,                0.57934,                0.77693,                0.54259,                0.45616,                0.53988,                 1.5068,                  1.031,               0.007756,               0.007756,               0.007756
                     70,                0.62323,                 1.4437,                 1.0734,                0.38826,                0.81093,                0.52404,                 0.4739,                0.43223,                 1.4048,                0.96486,               0.007723,               0.007723,               0.007723
                     71,                0.63129,                 1.4514,                 1.0664,                0.47224,                0.81664,                0.56751,                0.51816,                0.41499,                 1.3972,                0.96136,                0.00769,                0.00769,                0.00769
                     72,                0.61751,                 1.4453,                 1.0767,                0.36236,                 0.7395,                0.51014,                0.44401,                0.47915,                 1.5518,                 1.0197,               0.007657,               0.007657,               0.007657
                     73,                0.63973,                 1.4623,                 1.0948,                 0.3892,                0.66633,                0.46381,                0.39119,                0.49592,                 1.8926,                 1.0681,               0.007624,               0.007624,               0.007624
                     74,                0.61472,                 1.4075,                 1.0819,                0.50662,                0.77666,                0.53607,                0.48495,                0.42847,                 1.3188,                0.97556,               0.007591,               0.007591,               0.007591
                     75,                0.60111,                 1.4488,                 1.0606,                0.38517,                0.75661,                0.49768,                0.43192,                0.44448,                 1.4733,                0.96818,               0.007558,               0.007558,               0.007558
