                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.47545,                0.94278,                0.94962,                0.51989,                 0.8229,                0.68143,                  0.629,                0.35774,                  1.011,                 0.8451,               0.005974,               0.005974,               0.005974
                    124,                0.49197,                 0.9687,                 0.9485,                0.55599,                0.81811,                0.69557,                0.64854,                0.36154,                0.88885,                0.84605,               0.005941,               0.005941,               0.005941
                    125,                0.47188,                0.95592,                0.94181,                0.58246,                0.76029,                0.67151,                0.62026,                0.35102,                 0.9069,                0.84458,               0.005908,               0.005908,               0.005908
                    126,                0.46381,                0.91634,                0.93896,                0.67837,                0.71078,                0.68361,                0.64237,                0.31955,                0.88875,                0.83175,               0.005875,               0.005875,               0.005875
                    127,                0.47615,                0.93667,                0.94401,                 0.5157,                0.86953,                0.69951,                0.64542,                0.35706,                 0.9144,                0.85101,               0.005842,               0.005842,               0.005842
                    128,                0.48574,                0.93076,                0.94345,                0.55934,                0.76813,                0.67848,                0.63871,                 0.3397,                0.93477,                0.83985,               0.005809,               0.005809,               0.005809
                    129,                0.46419,                0.90959,                0.94387,                0.57757,                0.78692,                0.66927,                0.62645,                0.36769,                0.91614,                0.85912,               0.005776,               0.005776,               0.005776
                    130,                0.46555,                0.91397,                0.93932,                0.66158,                0.72369,                0.70745,                0.66356,                 0.3365,                0.85906,                0.83811,               0.005743,               0.005743,               0.005743
                    131,                0.48032,                0.92491,                0.95084,                0.55185,                0.76719,                0.63979,                0.59196,                 0.3409,                 1.0188,                 0.8365,                0.00571,                0.00571,                0.00571
                    132,                0.47636,                 0.8804,                0.94491,                0.49006,                 0.9063,                0.70529,                  0.653,                0.37011,                 1.0492,                 0.8528,               0.005677,               0.005677,               0.005677
                    133,                0.48046,                0.92347,                0.94565,                0.53394,                0.83551,                0.68969,                  0.645,                0.35143,                 0.9251,                0.84998,               0.005644,               0.005644,               0.005644
                    134,                0.46371,                0.92639,                0.94303,                0.49718,                0.81327,                0.60982,                0.57386,                0.35022,                 1.1565,                0.84628,               0.005611,               0.005611,               0.005611
